,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age,gender,polAffil,polAlign_1,educ,langother,englishprof,Q1_1,Q2_1,Q4_1,Q5_1,Q1_2_D_3,Q1_2_D_4,Q1_2_R_3,Q1_2_R_4,Q2_2_D_1,Q2_2_D_2,Q2_2_R_1,Q2_2_R_2,Q4_2_D_1,Q4_2_D_2,Q4_2_R_1,Q4_2_R_2,Q5_2_D_1,Q5_2_D_2,Q5_2_R_1,Q5_2_R_2,Q1_D_midpoint,Q1_R_midpoint,Q1_midpoint,Q2_D_midpoint,Q2_R_midpoint,Q2_midpoint,Q4_D_midpoint,Q4_R_midpoint,Q4_midpoint,Q5_D_midpoint,Q5_R_midpoint,Q5_midpoint
0,2022-09-20 03:31:14,2022-09-20 03:36:24,IP Address,100,310,True,2022-09-20 03:36:24,R_1mwrBMEkPSlf7Pr,anonymous,EN,"I consent, begin the study.",22.0,Female,Democrat,0.0,Some college but no degree,No,Very well,0.31,1.0,0.94,0.79,0.17,0.76,0.55,0.79,0.78,0.93,0.85,0.96,0.71,0.87,0.31,0.63,0.24,0.62,0.55,0.76,0.465,0.67,0.5675,0.855,0.905,0.88,0.79,0.47,0.63,0.43,0.655,0.5425
1,2022-09-20 03:32:30,2022-09-20 03:39:00,IP Address,100,389,True,2022-09-20 03:39:00,R_3PYuyTH51mMoRFc,anonymous,EN,"I consent, begin the study.",41.0,Female,Democrat,1.0,"Doctorate degree (For example: PhD, EdD)",No,Very well,0.27,0.25,1.0,1.0,0.11,0.71,0.3,0.81,0.13,0.7,0.28,0.78,0.6,0.98,0.46,0.82,0.53,0.96,0.43,0.81,0.41,0.555,0.4825,0.415,0.53,0.4725,0.79,0.64,0.7150000000000001,0.745,0.62,0.6825
2,2022-09-20 03:41:06,2022-09-20 03:51:52,IP Address,100,645,True,2022-09-20 03:51:52,R_1rlhQ78unlEZuke,anonymous,EN,"I consent, begin the study.",39.0,Female,Democrat,1.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.26,0.25,0.7,0.18,0.1,0.22,0.8,0.93,0.2,0.26,0.77,0.82,0.75,0.9,0.21,0.48,0.72,0.81,0.13,0.19,0.16,0.865,0.5125,0.23,0.7949999999999999,0.5125,0.825,0.345,0.585,0.765,0.16,0.4625
3,2022-09-20 03:46:34,2022-09-20 03:56:01,IP Address,100,567,True,2022-09-20 03:56:02,R_1DNBLRub4JAsk3D,anonymous,EN,"I consent, begin the study.",36.0,Male,Democrat,0.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.2,0.33,0.78,0.95,0.02,0.34,0.65,1.0,0.01,0.37,0.53,0.74,0.73,1.0,0.02,0.16,0.59,1.0,0.0,0.29,0.18,0.825,0.5025,0.19,0.635,0.4125,0.865,0.09,0.4775,0.7949999999999999,0.145,0.47
4,2022-09-20 03:59:13,2022-09-20 04:02:46,IP Address,100,212,True,2022-09-20 04:02:46,R_9Txt6XfSyPgROGl,anonymous,EN,"I consent, begin the study.",36.0,Female,Democrat,0.0,Associate degree in college - Academic program,No,Very well,0.9,0.94,0.93,0.87,0.67,0.88,0.66,0.86,0.76,0.88,0.74,0.91,0.67,0.88,0.72,0.91,0.63,0.93,0.64,0.92,0.775,0.76,0.7675000000000001,0.8200000000000001,0.825,0.8225,0.775,0.815,0.7949999999999999,0.78,0.78,0.78
5,2022-09-20 04:04:46,2022-09-20 04:11:41,IP Address,100,414,True,2022-09-20 04:11:41,R_1zzRQoW7YtxRtIt,anonymous,EN,"I consent, begin the study.",52.0,Male,Democrat,2.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.78,0.79,0.8,0.82,0.09,0.65,0.94,1.0,0.15,0.61,0.91,1.0,0.79,1.0,0.23,0.31,0.55,0.61,0.07,0.14,0.37,0.97,0.6699999999999999,0.38,0.955,0.6675,0.895,0.27,0.5825,0.5800000000000001,0.105,0.3425
6,2022-09-20 04:09:16,2022-09-20 04:17:01,IP Address,100,464,True,2022-09-20 04:17:01,R_PXO59rgzm6DPN2F,anonymous,EN,"I consent, begin the study.",47.0,Female,Democrat,3.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,1.0,0.9,0.9,0.92,0.34,0.65,0.69,1.0,0.54,0.75,0.75,1.0,0.77,1.0,0.54,0.75,0.71,1.0,0.62,0.87,0.495,0.845,0.6699999999999999,0.645,0.875,0.76,0.885,0.645,0.765,0.855,0.745,0.8
7,2022-09-20 04:12:51,2022-09-20 04:17:14,IP Address,100,262,True,2022-09-20 04:17:15,R_1hF2tPe7hqpbPAB,anonymous,EN,"I consent, begin the study.",38.0,Male,Democrat,0.0,Some college but no degree,No,Very well,0.0,0.08,0.2,0.2,0.0,0.22,0.2,1.0,0.0,0.53,0.1,1.0,0.0,0.87,0.0,0.39,0.0,0.36,0.0,0.18,0.11,0.6,0.355,0.265,0.55,0.4075,0.435,0.195,0.315,0.18,0.09,0.135
8,2022-09-20 04:13:25,2022-09-20 04:17:59,IP Address,100,273,True,2022-09-20 04:18:00,R_1Omai8umfEPlcNH,anonymous,EN,"I consent, begin the study.",34.0,Female,Democrat,0.0,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Yes,Very well,0.35,0.6,0.9,0.85,0.0,0.55,0.45,1.0,0.2,0.7,0.55,0.99,0.45,0.95,0.2,0.7,0.45,0.95,0.1,0.6,0.275,0.725,0.5,0.4499999999999999,0.77,0.61,0.7,0.4499999999999999,0.575,0.7,0.35,0.5249999999999999
9,2022-09-20 04:01:59,2022-09-20 04:19:41,IP Address,100,1062,True,2022-09-20 04:19:42,R_1iamMrFrcc2xZux,anonymous,EN,"I consent, begin the study.",27.0,Female,Democrat,2.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,1.0,0.81,0.6,1.0,0.64,0.83,0.27,0.59,0.47,0.74,0.5,0.78,0.5,0.65,0.41,0.67,0.37,0.84,0.41,0.59,0.735,0.43,0.5825,0.605,0.64,0.6225,0.575,0.54,0.5575,0.605,0.5,0.5525
